I, [2018-02-05T14:42:11.611318 #83561]  INFO -- Kitchen: -----> Starting Kitchen (v1.19.2)
E, [2018-02-05T14:42:11.611817 #83561] ERROR -- Kitchen: ------Exception-------
E, [2018-02-05T14:42:11.611916 #83561] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-02-05T14:42:11.611995 #83561] ERROR -- Kitchen: Message: Kitchen YAML file /Users/tech-a06/Desktop/devOpsClasswork/provisioning/.kitchen.yml does not exist.
E, [2018-02-05T14:42:11.612040 #83561] ERROR -- Kitchen: ----------------------
E, [2018-02-05T14:42:11.612068 #83561] ERROR -- Kitchen: ------Backtrace-------
E, [2018-02-05T14:42:11.612092 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-02-05T14:42:11.612116 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:152:in `data'
E, [2018-02-05T14:42:11.612148 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:131:in `suites'
E, [2018-02-05T14:42:11.612169 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-02-05T14:42:11.612191 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-02-05T14:42:11.612212 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:117:in `instances'
E, [2018-02-05T14:42:11.612233 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-02-05T14:42:11.612254 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-02-05T14:42:11.612275 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-02-05T14:42:11.612296 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-02-05T14:42:11.612318 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:34:in `call'
E, [2018-02-05T14:42:11.612340 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:52:in `perform'
E, [2018-02-05T14:42:11.612361 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-02-05T14:42:11.612381 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-02-05T14:42:11.612402 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-02-05T14:42:11.612422 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-02-05T14:42:11.612442 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-02-05T14:42:11.612463 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `block in <top (required)>'
E, [2018-02-05T14:42:11.612483 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-02-05T14:42:11.612503 #83561] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `<top (required)>'
E, [2018-02-05T14:42:11.612523 #83561] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:255:in `load'
E, [2018-02-05T14:42:11.612544 #83561] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:255:in `<main>'
E, [2018-02-05T14:42:11.612563 #83561] ERROR -- Kitchen: ----End Backtrace-----
